PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,calib_fator,velocidade_calibrada,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20958,55257,FABULA BARRA SALVADOR CM,0.048544,15,0.85,fallback_categoria,1.3226336724858752,0.06420592899715431,16,30,1.9261778699146295,2
5.20958,55257,FABULA HARMONIA SP CM,0.019417,15,0.85,fallback_categoria,1.6413964500297988,0.031870994870228604,6,20,0.6374198974045721,1
5.20958,55257,FABULA PLAZA SHOP CM,0.024272,15,0.85,fallback_categoria,1.5184927888116602,0.036856856970036614,4,18,0.663423425460659,1
5.20958,55257,FABULA SHOP VITORIA CM,0.043689,15,0.85,fallback_categoria,1.5665883579945814,0.06844267877242527,11,25,1.7110669693106317,2
5.20958,55257,FABULA CENTRO CM,0.014563,15,0.85,fallback_categoria,1.5407029380016526,0.022437256886118067,4,18,0.4038706239501252,1
5.20964,55259,FABULA SHOP LEBLON CM,0.048544,15,0.85,fallback_categoria,1.6757020079967777,0.08134527827619557,4,18,1.4642150089715202,1
5.20964,55259,FABULA RDB CM,0.038835,15,0.85,fallback_categoria,1.4613373470269417,0.05675103587179128,4,18,1.0215186456922432,1
5.20964,55259,FABULA BARRA SHOPPING,0.066667,15,0.85,knn_enriquecido,1.2565817595527058,0.08377253616410024,4,18,1.5079056509538042,2
5.20964,55259,FABULA ELDORADO CM,0.043689,15,0.85,fallback_categoria,1.5793903919633479,0.0690019868344867,6,20,1.3800397366897341,1
5.20964,55259,FABULA RIO SUL CM,0.029126,15,0.85,fallback_categoria,1.6518770394243272,0.048112570650272954,4,18,0.8660262717049132,1
5.20964,55259,FABULA BARRA SALVADOR CM,0.038835,15,0.85,fallback_categoria,1.3226336724858752,0.051364478670988964,16,30,1.540934360129669,2
5.20964,55259,FABULA HARMONIA SP CM,0.018692,15,0.85,fallback_categoria,1.6413964500297988,0.030680982443957,6,20,0.61361964887914,1
5.20964,55259,FABULA PLAZA SHOP CM,0.024272,15,0.85,fallback_categoria,1.5184927888116602,0.036856856970036614,4,18,0.663423425460659,1
5.20964,55259,FABULA SHOP VITORIA CM,0.029126,15,0.85,fallback_categoria,1.5665883579945814,0.04562845251495018,11,25,1.1407113128737545,1
5.20964,55259,FABULA CENTRO CM,0.009709,15,0.85,fallback_categoria,1.5407029380016526,0.014958684825058046,4,18,0.26925632685104484,0
5.20749,55222,FABULA SHOP LEBLON CM,0.009346,15,1.0,knn_enriquecido,1.6757020079967777,0.015661110966737883,4,18,0.2818999974012819,0
5.20749,55222,FABULA RDB CM,0.038835,15,1.0,fallback_categoria,1.4613373470269417,0.05675103587179128,4,18,1.0215186456922432,1
5.20749,55222,FABULA BARRA SHOPPING,0.053881,15,1.0,knn_enriquecido,1.2565817595527058,0.06770588178645934,4,18,1.218705872156268,1
5.20749,55222,FABULA ELDORADO CM,0.024272,15,1.0,fallback_categoria,1.5793903919633479,0.038334963593734374,6,20,0.7666992718746874,1
5.20749,55222,FABULA RIO SUL CM,0.033981,15,1.0,fallback_categoria,1.6518770394243272,0.056132433676678056,4,18,1.010383806180205,1
5.20749,55222,FABULA BARRA SALVADOR CM,0.048544,15,1.0,fallback_categoria,1.3226336724858752,0.06420592899715431,16,30,1.9261778699146295,2
5.20749,55222,FABULA HARMONIA SP CM,0.00858,15,1.0,knn_enriquecido,1.6413964500297988,0.014083181541255676,6,20,0.28166363082511353,0
5.20749,55222,FABULA PLAZA SHOP CM,0.024272,15,1.0,fallback_categoria,1.5184927888116602,0.036856856970036614,4,18,0.663423425460659,1
5.20749,55222,FABULA SHOP VITORIA CM,0.043689,15,1.0,fallback_categoria,1.5665883579945814,0.06844267877242527,11,25,1.7110669693106317,2
