PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20919,55257,FABULA CENTRO CM,0.032787,10,0.55,knn_ponderado,4,18,0.590166,1
5.20906,55252,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.20906,55252,FABULA RDB CM,0.07377,10,0.75,fallback_categoria,4,18,1.32786,1
5.20906,55252,FABULA BARRA SHOPPING,0.141803,10,0.75,knn_ponderado,4,18,2.552454,3
5.20906,55252,FABULA ELDORADO CM,0.044262,10,0.75,knn_ponderado,6,20,0.88524,1
5.20906,55252,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20906,55252,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.20906,55252,FABULA HARMONIA SP CM,0.008197,10,0.75,knn_ponderado,6,20,0.16393999999999997,0
5.20906,55252,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20906,55252,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.20906,55252,FABULA CENTRO CM,0.032787,10,0.75,fallback_categoria,4,18,0.590166,1
5.20959,55258,FABULA SHOP LEBLON CM,0.065574,10,0.55,fallback_categoria,4,18,1.180332,1
5.20959,55258,FABULA RDB CM,0.004098,10,0.55,knn_ponderado,4,18,0.073764,0
5.20959,55258,FABULA BARRA SHOPPING,0.09918,10,0.55,knn_ponderado,4,18,1.7852400000000002,2
5.20959,55258,FABULA ELDORADO CM,0.018443,10,0.55,knn_ponderado,6,20,0.36886,0
5.20959,55258,FABULA RIO SUL CM,0.008197,10,0.55,knn_ponderado,4,18,0.14754599999999998,0
5.20959,55258,FABULA BARRA SALVADOR CM,0.081967,10,0.55,fallback_categoria,16,30,2.45901,2
5.20959,55258,FABULA HARMONIA SP CM,0.016393,10,0.55,knn_ponderado,6,20,0.32786000000000004,0
5.20959,55258,FABULA PLAZA SHOP CM,0.040984,10,0.55,fallback_categoria,4,18,0.737712,1
5.20959,55258,FABULA SHOP VITORIA CM,0.008197,10,0.55,knn_ponderado,11,25,0.204925,0
5.20959,55258,FABULA CENTRO CM,0.008197,10,0.55,knn_ponderado,4,18,0.14754599999999998,0
5.21056,10054,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.21056,10054,FABULA RDB CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.21056,10054,FABULA BARRA SHOPPING,0.079508,10,0.75,knn_ponderado,4,18,1.431144,1
5.21056,10054,FABULA ELDORADO CM,0.029508,10,0.75,knn_ponderado,6,20,0.59016,1
5.21056,10054,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.21056,10054,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.21056,10054,FABULA HARMONIA SP CM,0.010929,10,0.75,knn_ponderado,6,20,0.21858,0
5.21056,10054,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.21056,10054,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.21056,10054,FABULA CENTRO CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.21045,10054,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.21045,10054,FABULA RDB CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.21045,10054,FABULA BARRA SHOPPING,0.079508,10,0.75,knn_ponderado,4,18,1.431144,1
5.21045,10054,FABULA ELDORADO CM,0.029508,10,0.75,knn_ponderado,6,20,0.59016,1
